state,year,population_crore,urban_pct,rural_pct,disease_index,hospitals_total,hospital_beds_per_1000,icu_beds,doctors_total,doctor_per_1000,nurses_total,phc_count,chc_count,vaccine_coverage_pct,cold_chain_facilities,vaccine_doses_required_cr,health_budget_crore,budget_per_capita_inr,infra_gap_score,maternal_mortality_ratio,infant_mortality_rate,life_expectancy
Tamil Nadu,2022,7.98,49.3,50.7,0.28,4450,1.92,3625,55200,0.69,87000,1875,396,90.0,541,5.83,18500,2318,2.6,55,14,73.0
Tamil Nadu,2023,8.04,49.8,50.2,0.27,4580,1.96,3750,56900,0.71,89700,1896,402,90.8,552,5.87,20000,2488,2.5,52,13,73.3
Tamil Nadu,2024,8.10,50.2,49.8,0.26,4720,2.00,3880,58700,0.72,92500,1917,408,91.5,564,5.92,21600,2667,2.4,50,12,73.6
Tamil Nadu,2025,8.16,50.7,49.3,0.25,4860,2.04,4020,60500,0.74,95500,1938,415,92.2,576,5.96,23400,2868,2.3,48,12,73.9
Tamil Nadu,2026,8.22,51.2,48.8,0.25,5010,2.08,4160,62400,0.76,98500,1960,422,92.8,589,6.01,25300,3078,2.2,45,11,74.2
Tamil Nadu,2027,8.28,51.7,48.3,0.24,5160,2.13,4310,64400,0.78,101600,1982,429,93.5,602,6.05,27400,3309,2.1,43,10,74.5
Telangana,2020,3.94,38.9,61.1,0.35,2400,1.22,1850,28000,0.71,42000,768,82,80.0,285,2.88,8200,2081,3.8,63,28,70.5
Telangana,2021,3.98,39.4,60.6,0.34,2480,1.25,1920,29000,0.73,43500,778,84,81.2,292,2.91,8900,2236,3.7,60,27,70.8
Telangana,2022,4.02,39.9,60.1,0.33,2560,1.28,1990,30000,0.75,45000,788,86,82.5,300,2.94,9700,2413,3.6,57,25,71.0
Telangana,2023,4.06,40.4,59.6,0.32,2650,1.31,2070,31100,0.77,46600,798,88,83.8,308,2.97,10600,2611,3.4,54,24,71.3
Telangana,2024,4.10,40.9,59.1,0.31,2740,1.34,2150,32200,0.79,48200,808,90,85.0,316,3.00,11600,2829,3.3,52,22,71.6
Telangana,2025,4.14,41.4,58.6,0.30,2840,1.38,2240,33400,0.81,49900,818,92,86.2,324,3.03,12700,3068,3.2,49,21,71.9
Telangana,2026,4.18,41.9,58.1,0.30,2940,1.41,2330,34600,0.83,51700,829,95,87.5,333,3.06,13900,3325,3.0,47,20,72.2
Telangana,2027,4.22,42.4,57.6,0.29,3050,1.45,2430,35900,0.85,53500,840,97,88.5,342,3.09,15200,3602,2.9,44,19,72.5
Tripura,2020,0.42,26.2,73.8,0.45,110,0.52,78,2200,0.52,3300,108,12,68.0,34,0.31,350,833,5.5,86,24,72.0
Tripura,2021,0.42,26.5,73.5,0.44,114,0.54,82,2280,0.54,3420,110,12,69.5,35,0.31,385,917,5.3,82,23,72.2
Tripura,2022,0.42,27.0,73.0,0.43,118,0.56,86,2360,0.56,3540,112,13,71.0,36,0.31,420,1000,5.2,78,22,72.5
Tripura,2023,0.43,27.5,72.5,0.42,122,0.58,90,2440,0.57,3670,114,13,72.8,37,0.32,460,1070,5.0,75,21,72.7
Tripura,2024,0.43,28.0,72.0,0.41,127,0.60,95,2530,0.59,3800,116,14,74.5,38,0.32,505,1174,4.8,71,20,73.0
Tripura,2025,0.43,28.5,71.5,0.40,132,0.63,100,2620,0.61,3940,118,14,76.2,39,0.32,555,1291,4.7,68,19,73.2
Tripura,2026,0.44,29.0,71.0,0.39,137,0.65,105,2715,0.63,4090,121,14,78.0,40,0.33,610,1386,4.5,65,18,73.5
Tripura,2027,0.44,29.5,70.5,0.38,143,0.68,110,2810,0.64,4240,123,15,79.8,41,0.33,670,1523,4.3,62,17,73.7
Uttar Pradesh,2020,23.50,22.3,77.7,0.60,5200,0.44,3600,42000,0.18,58000,3860,530,62.0,520,17.15,18500,787,8.8,197,50,64.8
Uttar Pradesh,2021,23.78,22.6,77.4,0.59,5380,0.45,3740,43500,0.18,60000,3920,540,63.8,535,17.36,20000,841,8.6,190,48,65.1
Uttar Pradesh,2022,24.06,23.0,77.0,0.58,5570,0.47,3890,45000,0.19,62200,3985,550,65.5,550,17.58,21800,906,8.4,183,46,65.4
Uttar Pradesh,2023,24.34,23.3,76.7,0.56,5770,0.48,4050,46800,0.19,64500,4050,562,67.5,566,17.80,23800,978,8.2,176,44,65.7
Uttar Pradesh,2024,24.62,23.7,76.3,0.55,5980,0.49,4220,48600,0.20,67000,4118,574,69.2,582,18.02,26000,1056,8.0,169,42,66.0
Uttar Pradesh,2025,24.90,24.0,76.0,0.54,6200,0.51,4400,50500,0.20,69500,4188,586,71.0,598,18.24,28500,1145,7.8,163,40,66.3
Uttar Pradesh,2026,25.18,24.4,75.6,0.52,6430,0.52,4590,52500,0.21,72200,4260,599,73.0,615,18.47,31200,1239,7.6,157,38,66.6
Uttar Pradesh,2027,25.46,24.8,75.2,0.51,6670,0.54,4790,54600,0.21,75000,4335,612,75.0,632,18.70,34200,1343,7.4,151,37,66.9
Uttarakhand,2020,1.17,30.2,69.8,0.38,620,1.06,465,7200,0.62,10800,260,52,76.5,108,0.85,2100,1795,4.2,84,32,70.5
Uttarakhand,2021,1.18,30.6,69.4,0.37,640,1.08,482,7450,0.63,11200,265,53,78.0,111,0.86,2280,1932,4.1,80,31,70.8
Uttarakhand,2022,1.19,31.0,69.0,0.36,662,1.11,500,7700,0.65,11600,270,54,79.5,114,0.87,2480,2084,3.9,77,29,71.0
Uttarakhand,2023,1.20,31.4,68.6,0.35,685,1.13,518,7960,0.66,12000,275,55,81.0,117,0.88,2700,2250,3.8,74,28,71.3
Uttarakhand,2024,1.21,31.8,68.2,0.34,710,1.16,538,8220,0.68,12500,280,57,82.5,121,0.89,2940,2430,3.6,71,26,71.5
Uttarakhand,2025,1.22,32.2,67.8,0.33,736,1.19,558,8500,0.70,13000,286,58,84.0,125,0.89,3200,2623,3.5,68,25,71.8
Uttarakhand,2026,1.23,32.6,67.4,0.32,764,1.22,580,8790,0.71,13500,291,59,85.5,129,0.90,3480,2829,3.3,65,24,72.1
Uttarakhand,2027,1.24,33.0,67.0,0.31,793,1.25,603,9080,0.73,14000,297,61,87.0,133,0.91,3790,3057,3.2,62,22,72.3
West Bengal,2020,9.98,31.9,68.1,0.42,3800,1.00,2700,36000,0.36,55000,1320,348,78.0,420,7.28,12000,1202,5.0,98,25,71.0
West Bengal,2021,10.08,32.3,67.7,0.41,3920,1.02,2800,37200,0.37,57000,1340,354,79.2,430,7.36,13000,1290,4.9,94,24,71.2
West Bengal,2022,10.18,32.7,67.3,0.40,4050,1.04,2910,38500,0.38,59000,1362,360,80.5,441,7.44,14100,1385,4.7,90,23,71.5
West Bengal,2023,10.28,33.1,66.9,0.39,4180,1.07,3020,39800,0.39,61200,1384,367,81.8,452,7.52,15300,1489,4.6,86,22,71.7
West Bengal,2024,10.38,33.5,66.5,0.38,4320,1.09,3140,41200,0.40,63400,1406,374,83.0,464,7.60,16600,1599,4.4,82,21,72.0
West Bengal,2025,10.48,33.9,66.1,0.37,4470,1.12,3270,42600,0.41,65700,1430,381,84.2,476,7.68,18000,1718,4.3,79,20,72.3
West Bengal,2026,10.58,34.3,65.7,0.36,4620,1.14,3400,44100,0.42,68000,1454,388,85.5,488,7.77,19500,1843,4.1,75,19,72.5
West Bengal,2027,10.68,34.7,65.3,0.35,4780,1.17,3540,45600,0.43,70400,1478,396,86.8,501,7.85,21200,1985,3.9,72,18,72.8
Delhi,2020,2.08,97.5,2.5,0.30,3200,2.10,2800,32000,1.54,48000,12,0,85.0,280,1.52,8500,4087,2.8,26,14,73.5
Delhi,2021,2.11,97.5,2.5,0.29,3280,2.14,2890,33200,1.57,49800,12,0,86.0,286,1.54,9200,4360,2.7,25,13,73.8
Delhi,2022,2.14,97.6,2.4,0.29,3370,2.18,2990,34400,1.61,51600,12,0,87.0,292,1.56,10000,4673,2.6,24,12,74.0
Delhi,2023,2.17,97.6,2.4,0.28,3460,2.22,3090,35700,1.64,53500,12,0,88.0,298,1.58,10900,5023,2.5,23,12,74.3
Delhi,2024,2.20,97.7,2.3,0.27,3550,2.26,3200,37000,1.68,55500,12,0,88.8,305,1.61,11900,5409,2.4,22,11,74.5
Delhi,2025,2.23,97.7,2.3,0.27,3650,2.30,3310,38400,1.72,57500,12,0,89.5,312,1.63,13000,5830,2.3,21,10,74.8
Delhi,2026,2.26,97.8,2.2,0.26,3750,2.35,3430,39800,1.76,59600,12,0,90.2,319,1.65,14200,6283,2.2,20,10,75.0
Delhi,2027,2.29,97.8,2.2,0.25,3860,2.39,3560,41300,1.80,61800,12,0,91.0,326,1.67,15500,6769,2.1,19,9,75.3
Jammu and Kashmir,2020,1.38,27.4,72.6,0.42,680,0.98,510,8200,0.59,12500,352,78,72.0,115,1.01,2800,2029,4.5,77,26,71.0
Jammu and Kashmir,2021,1.39,27.8,72.2,0.41,702,1.00,528,8480,0.61,12900,358,80,73.5,118,1.02,3050,2194,4.4,74,25,71.2
Jammu and Kashmir,2022,1.40,28.2,71.8,0.40,725,1.03,548,8770,0.63,13300,364,82,75.0,121,1.02,3320,2371,4.2,71,24,71.5
Jammu and Kashmir,2023,1.41,28.6,71.4,0.39,748,1.05,568,9060,0.64,13700,370,84,76.5,124,1.03,3600,2553,4.1,68,23,71.7
Jammu and Kashmir,2024,1.42,29.0,71.0,0.38,773,1.08,590,9370,0.66,14200,376,86,78.0,128,1.04,3910,2754,3.9,65,22,72.0
Jammu and Kashmir,2025,1.43,29.4,70.6,0.37,800,1.11,612,9680,0.68,14700,383,88,79.5,132,1.05,4250,2972,3.8,63,21,72.3
Jammu and Kashmir,2026,1.44,29.8,70.2,0.36,828,1.14,636,10000,0.69,15200,390,90,81.0,136,1.05,4620,3208,3.6,60,20,72.5
Jammu and Kashmir,2027,1.45,30.2,69.8,0.35,858,1.17,660,10340,0.71,15700,397,92,82.5,140,1.06,5020,3462,3.5,57,19,72.8
Ladakh,2020,0.03,26.1,73.9,0.52,12,0.80,10,180,0.60,280,8,2,58.0,5,0.02,45,1500,6.5,95,25,68.0
Ladakh,2021,0.03,26.5,73.5,0.51,13,0.83,11,188,0.63,292,8,2,60.0,5,0.02,50,1667,6.3,90,24,68.3
Ladakh,2022,0.03,27.0,73.0,0.50,14,0.87,12,196,0.65,305,8,2,62.0,5,0.02,55,1833,6.1,86,23,68.5
Ladakh,2023,0.03,27.5,72.5,0.49,15,0.90,13,205,0.68,318,9,2,64.0,5,0.02,62,2067,5.9,81,22,68.8
Ladakh,2024,0.03,28.0,72.0,0.48,16,0.93,14,214,0.71,332,9,2,66.0,6,0.02,70,2333,5.7,77,21,69.0
Ladakh,2025,0.03,28.5,71.5,0.47,17,0.97,15,224,0.75,346,9,3,68.0,6,0.02,78,2600,5.5,73,20,69.3
Ladakh,2026,0.03,29.0,71.0,0.46,18,1.00,16,234,0.78,362,10,3,70.0,6,0.02,87,2900,5.3,69,19,69.5
Ladakh,2027,0.03,29.5,70.5,0.45,19,1.03,17,245,0.82,378,10,3,72.0,7,0.03,97,3233,5.1,65,18,69.8
Puducherry,2020,0.16,68.3,31.7,0.28,128,2.40,165,2050,1.28,3500,40,4,87.5,25,0.12,520,3250,2.6,29,10,73.5
Puducherry,2021,0.16,68.6,31.4,0.27,132,2.44,170,2120,1.31,3620,40,4,88.2,26,0.12,565,3531,2.5,28,10,73.8
Puducherry,2022,0.16,69.0,31.0,0.27,136,2.48,176,2190,1.34,3740,41,4,89.0,26,0.12,615,3844,2.4,27,9,74.0
Puducherry,2023,0.16,69.3,30.7,0.26,140,2.52,182,2260,1.37,3870,41,4,89.8,27,0.12,670,4188,2.3,26,9,74.2
Puducherry,2024,0.16,69.7,30.3,0.25,145,2.57,188,2340,1.40,4000,42,5,90.5,28,0.12,730,4563,2.2,25,8,74.5
Puducherry,2025,0.17,70.0,30.0,0.25,150,2.61,195,2420,1.43,4140,42,5,91.2,28,0.12,795,4676,2.1,24,8,74.7
Puducherry,2026,0.17,70.3,29.7,0.24,155,2.66,202,2500,1.47,4280,43,5,91.8,29,0.13,865,5088,2.0,23,7,75.0
Puducherry,2027,0.17,70.7,29.3,0.24,160,2.71,210,2590,1.50,4430,43,5,92.5,30,0.13,940,5529,1.9,22,7,75.2
Chandigarh,2020,0.12,97.3,2.7,0.25,85,2.80,120,1800,1.50,3000,0,0,89.0,20,0.09,380,3167,2.2,21,12,74.0
Chandigarh,2021,0.12,97.3,2.7,0.24,87,2.84,124,1860,1.53,3100,0,0,89.8,20,0.09,415,3458,2.1,20,11,74.2
Chandigarh,2022,0.12,97.4,2.6,0.24,90,2.89,128,1920,1.57,3210,0,0,90.5,21,0.09,452,3767,2.1,19,11,74.5
Chandigarh,2023,0.12,97.4,2.6,0.23,93,2.93,132,1980,1.60,3320,0,0,91.2,21,0.09,495,4125,2.0,18,10,74.7
Chandigarh,2024,0.12,97.5,2.5,0.23,96,2.98,137,2050,1.63,3440,0,0,91.8,22,0.09,540,4500,1.9,18,10,75.0
Chandigarh,2025,0.13,97.5,2.5,0.22,100,3.03,142,2120,1.67,3560,0,0,92.5,22,0.10,590,4538,1.8,17,9,75.2
Chandigarh,2026,0.13,97.5,2.5,0.22,104,3.08,147,2190,1.70,3690,0,0,93.0,23,0.10,645,4962,1.8,16,9,75.5
Chandigarh,2027,0.13,97.6,2.4,0.21,108,3.13,152,2270,1.74,3820,0,0,93.5,23,0.10,705,5423,1.7,15,8,75.7
Andaman and Nicobar Islands,2020,0.04,37.7,62.3,0.35,22,1.10,18,320,0.80,520,19,3,78.0,8,0.03,48,1200,4.0,52,14,71.5
Andaman and Nicobar Islands,2021,0.04,38.0,62.0,0.34,23,1.13,19,332,0.82,540,19,3,79.0,8,0.03,53,1325,3.9,50,13,71.7
Andaman and Nicobar Islands,2022,0.04,38.4,61.6,0.34,24,1.16,20,344,0.84,560,20,3,80.0,9,0.03,58,1450,3.8,48,13,72.0
Andaman and Nicobar Islands,2023,0.04,38.8,61.2,0.33,25,1.19,21,357,0.87,580,20,3,81.0,9,0.03,64,1600,3.6,46,12,72.2
Andaman and Nicobar Islands,2024,0.04,39.2,60.8,0.32,26,1.22,22,370,0.89,602,20,3,82.0,9,0.03,70,1750,3.5,44,12,72.5
Andaman and Nicobar Islands,2025,0.04,39.6,60.4,0.31,27,1.25,23,384,0.92,625,21,3,83.0,10,0.03,78,1950,3.4,42,11,72.7
Andaman and Nicobar Islands,2026,0.04,40.0,60.0,0.31,28,1.29,24,398,0.95,648,21,4,84.0,10,0.03,86,2150,3.2,40,11,73.0
Andaman and Nicobar Islands,2027,0.04,40.4,59.6,0.30,30,1.32,25,413,0.98,672,22,4,85.0,10,0.03,95,2375,3.1,38,10,73.2
Dadra Nagar Haveli and Daman Diu,2020,0.06,36.3,63.7,0.38,28,0.93,22,420,0.70,650,10,2,72.0,8,0.04,65,1083,4.8,56,22,70.0
Dadra Nagar Haveli and Daman Diu,2021,0.06,36.8,63.2,0.37,29,0.95,23,435,0.72,675,10,2,73.5,8,0.04,72,1200,4.6,54,21,70.3
Dadra Nagar Haveli and Daman Diu,2022,0.06,37.2,62.8,0.36,30,0.98,24,452,0.74,700,11,2,75.0,9,0.04,79,1317,4.5,51,20,70.5
Dadra Nagar Haveli and Daman Diu,2023,0.06,37.7,62.3,0.35,32,1.00,25,468,0.76,728,11,2,76.5,9,0.04,87,1450,4.3,49,19,70.8
Dadra Nagar Haveli and Daman Diu,2024,0.06,38.2,61.8,0.34,33,1.03,27,486,0.78,756,11,3,78.0,10,0.05,96,1600,4.2,47,18,71.0
Dadra Nagar Haveli and Daman Diu,2025,0.06,38.7,61.3,0.33,35,1.06,28,504,0.81,785,12,3,79.5,10,0.05,106,1767,4.0,44,17,71.3
Dadra Nagar Haveli and Daman Diu,2026,0.07,39.2,60.8,0.32,37,1.09,30,523,0.83,815,12,3,81.0,10,0.05,118,1686,3.8,42,16,71.5
Dadra Nagar Haveli and Daman Diu,2027,0.07,39.7,60.3,0.32,39,1.12,32,543,0.86,848,12,3,82.5,11,0.05,130,1857,3.7,40,15,71.8
Lakshadweep,2020,0.01,78.1,21.9,0.30,8,1.60,8,85,0.85,140,4,1,82.0,3,0.01,18,1800,3.2,35,10,73.0
Lakshadweep,2021,0.01,78.3,21.7,0.29,8,1.63,8,88,0.88,145,4,1,83.0,3,0.01,20,2000,3.1,33,10,73.2
Lakshadweep,2022,0.01,78.5,21.5,0.29,9,1.66,9,91,0.91,151,4,1,84.0,3,0.01,22,2200,3.0,32,9,73.5
Lakshadweep,2023,0.01,78.7,21.3,0.28,9,1.70,9,95,0.95,157,4,1,85.0,3,0.01,24,2400,2.8,30,9,73.7
Lakshadweep,2024,0.01,78.9,21.1,0.27,10,1.73,10,98,0.98,163,4,1,86.0,3,0.01,27,2700,2.7,28,8,74.0
Lakshadweep,2025,0.01,79.1,20.9,0.27,10,1.77,10,102,1.02,170,4,1,87.0,3,0.01,30,3000,2.6,27,8,74.2
Lakshadweep,2026,0.01,79.3,20.7,0.26,11,1.81,11,106,1.06,177,4,2,88.0,4,0.01,33,3300,2.5,25,7,74.5
Lakshadweep,2027,0.01,79.5,20.5,0.26,11,1.85,11,110,1.10,184,4,2,89.0,4,0.01,36,3600,2.4,24,7,74.7
